,Movie_Name,Ratings,Release_Date,Duration,Original_Language,Description,Box Office,Certificate (MPAA),Month,Category_Encoded,Film_Actor_Encoded,Writer_Encoded,Companies_Encoded,Directors_Encoded
2,0,0.72,2016-03-11,103,5,732,110216998,6,3,357,191,601,440,318
3,1,0.73,1999-03-31,97,5,308,53686594,6,3,282,2280,646,803,480
4,2,0.57,1996-11-27,103,5,934,320689294,1,11,203,2229,2141,1184,45
6,3,0.9,1957-04-10,96,5,1972,2945,0,4,335,2296,1187,359,21
7,4,0.8,1996-01-05,129,5,1430,168839459,7,1,240,1668,1865,1030,90
8,5,0.65,2018-01-19,130,5,2,67359190,7,1,118,1775,1533,1913,919
9,6,0.81,2013-11-08,134,5,1481,187734091,7,11,365,1762,532,328,58
12,7,0.75,2011-01-28,94,5,388,60738797,7,1,224,6,2006,635,324
14,8,0.63,2004-04-23,98,5,2190,96458118,6,4,288,93,605,570,460
15,9,0.73,2016-01-15,144,5,1195,69411370,7,1,107,194,1920,378,849
17,10,0.68,2007-06-22,104,5,1056,132963417,6,6,369,183,847,1742,884
18,11,0.64,2009-04-17,102,5,1648,136316880,6,4,287,1562,362,268,233
22,12,0.82,2020-01-10,119,5,1004,446064352,7,1,118,1957,1321,1794,1094
24,13,0.71,1985-03-22,113,5,1445,8431544,7,3,339,193,936,1121,872
27,14,0.59,2003-06-06,107,5,1274,236353236,6,6,80,908,117,1007,670
28,15,0.67,2013-08-02,109,5,2157,131940411,7,8,87,1977,1615,1087,996
29,16,0.83,1968-05-12,149,5,2261,66778448,1,5,134,322,1428,181,38
30,17,0.58,2009-11-13,158,5,247,791217826,6,11,3,184,1284,1630,1075
32,18,0.68,2008-03-28,123,5,1517,159808370,6,3,335,148,1138,1595,1050
33,19,0.72,2012-03-16,109,5,428,201585556,7,3,87,231,886,1566,997
34,20,0.7,2014-06-13,112,5,820,331333876,7,6,87,1730,887,1564,997
38,21,0.75,2003-06-27,113,5,1287,84661434,7,6,219,1832,2166,1706,324
39,22,0.69,2007-05-11,100,5,1828,65048725,7,5,376,114,1302,1970,714
41,23,0.84,2009-12-25,170,10,2152,60262836,6,12,302,424,533,1120,1010
42,24,0.66,2007-10-19,113,5,786,75513170,7,10,375,247,1479,1655,359
44,25,0.76,2007-03-09,117,5,1480,456082343,7,3,118,2215,1724,1209,198
45,26,0.62,2014-03-07,102,5,1314,337580051,7,3,118,1271,1723,1210,929
49,27,0.76,2007-09-07,122,5,532,70016220,7,9,48,1076,208,97,545
51,28,0.68,2004-02-13,99,5,1333,198520934,6,2,282,643,156,1661,989
52,29,0.77,2009-08-07,95,5,793,60801288,6,8,282,1582,1343,640,802
54,30,0.54,2023-03-10,93,5,922,60730568,6,3,47,283,1332,1371,1099
56,31,0.72,2002-11-08,110,5,1265,242875078,7,11,330,2119,1347,2091,305
59,32,0.7,2009-09-09,79,5,464,48428063,6,9,19,2081,1049,1929,10
60,33,0.48,2005-03-11,71,5,1398,1590308,4,3,329,367,945,564,877
65,34,0.59,1986-02-21,117,5,45,6740470,7,2,338,741,23,529,251
67,35,0.56,2017-11-01,104,5,1035,130560428,7,11,324,758,557,2068,682
68,36,0.72,2019-11-22,109,5,1618,67925733,5,11,364,647,884,849,809
69,37,0.82,2002-01-04,135,5,369,316791257,6,1,335,1079,1863,1084,1080
74,38,0.74,1977-06-15,175,5,1708,50750000,5,6,365,1160,1940,15,1022
75,39,0.78,1993-10-01,121,5,969,17287898,7,10,335,1012,1845,527,1046
76,40,0.72,1998-11-25,95,5,381,363258859,1,11,161,364,510,1152,652
79,41,0.68,2009-11-06,96,5,1210,325286646,5,11,140,141,1829,1188,1060
83,42,0.79,1983-11-18,93,5,1471,20792619,5,11,324,915,375,193,179
87,43,0.59,2004-07-16,95,5,1780,70080371,5,7,321,2304,736,1311,819
88,44,0.82,1972-02-02,136,5,861,27034174,7,2,261,528,1426,1238,38
91,45,0.64,2017-02-17,146,5,909,26620002,7,2,348,1902,635,333,487
93,46,0.64,2011-11-10,99,5,343,30519436,7,11,338,714,1901,547,334
94,47,0.92,2024-11-05,112,5,1037,49000,7,11,277,1852,2183,29,389
97,48,0.74,2019-05-17,109,5,177,78871103,5,5,186,245,1651,1806,447
98,49,0.72,2017-01-27,100,5,176,205035819,5,1,186,246,1652,1807,768
101,50,0.77,1992-12-11,138,5,379,243240178,7,12,335,1387,61,1628,1042
102,51,0.79,1967-01-18,99,12,617,14516248,7,1,224,1849,1801,13,6
104,52,0.68,2017-07-28,92,5,1510,1951683,7,7,342,1707,2064,609,347
105,53,0.52,2013-02-14,98,5,1573,304654182,7,2,80,1680,1412,911,662
108,54,0.69,2006-11-10,117,5,15,42269923,6,11,282,1078,792,1954,1033
109,55,0.65,2023-09-15,103,5,1466,122290456,6,9,358,334,914,1877,743
111,56,0.74,2005-09-30,96,5,378,61385065,7,9,107,1477,537,300,334
112,57,0.7,2001-05-11,132,5,815,117487657,6,5,2,2281,1768,1648,219
113,58,0.73,1992-07-01,128,5,1189,132440069,5,7,284,1419,691,1581,969
116,59,0.75,2023-01-13,126,5,1712,113360085,6,1,302,1392,98,35,801
119,60,0.8,1947-03-01,104,5,18,179059,5,3,346,1951,935,752,870
123,61,0.61,2014-05-30,116,5,1019,87189756,7,5,207,1177,1374,1393,9
124,62,0.61,2021-10-29,105,5,1583,269435,7,10,365,2313,267,163,544
126,63,0.62,1998-10-02,82,5,2150,30331740,6,10,258,1782,1476,1412,637
127,64,0.74,1984-11-16,91,5,1875,25858216,7,11,378,2284,1671,263,175
133,65,0.75,2018-04-06,90,0,203,340955294,6,4,359,2112,1791,405,648
134,66,0.72,2021-05-28,97,5,1259,297372261,6,5,357,2115,504,405,648
