ID,Link,Movie_Name,Ratings,Movie_category,Film_Actor,Release_Date,Duration,Original_Language,Companies,Description,Box Office,Certificate (MPAA),Directors,Writing_Credits,Tags
2,https://www.imdb.com/title/tt1262426/?ref_=sr_t_2,Wicked: Part I,81%,"['Fairy Tale', 'Pop Musical', 'Fantasy', 'Musical', 'Romance']","['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum', 'Michelle Yeoh', 'Jonathan Bailey', 'Ethan Slater', 'Marissa Bode', 'Peter Dinklage', 'Andy Nyman', 'Courtney Mae-Briggs', 'Bowen Yang', 'Bronwyn James', 'Aaron Teoh Guan Ti', 'Shaun Prendergast', 'Keala Settle', 'Sharon D. Clarke', 'Jenna Boyd', 'Colin Michael Carmichael']","Nov 21, 2024",2 hours 40 minutes,English,"['Universal Pictures', 'Marc Platt Productions', 'SKY Studios']","['Elphaba,', 'a', 'misunderstood', 'young', 'woman', 'because', 'of', 'her', 'green', 'skin,', 'and', 'Glinda,', 'a', 'popular', 'girl,', 'become', 'friends', 'at', 'Shiz', 'University', 'in', 'the', 'Land', 'of', 'Oz.', 'After', 'an', 'encounter', 'with', 'the', 'Wonderful', 'Wizard', 'of', 'Oz,', 'their', 'friendship', 'reaches', 'a', 'crossroads.']","$365,980,005",K,['Jon M. Chu'],"['Winnie Holzman', 'Dana Fox', 'Winnie Holzman', 'Gregory Maguire', 'L. Frank Baum']","['Fairy Tale', 'Pop Musical', 'Fantasy', 'Musical', 'Romance', 'Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum', 'Michelle Yeoh', 'Jonathan Bailey', 'Ethan Slater', 'Marissa Bode', 'Peter Dinklage', 'Andy Nyman', 'Courtney Mae-Briggs', 'Bowen Yang', 'Bronwyn James', 'Aaron Teoh Guan Ti', 'Shaun Prendergast', 'Keala Settle', 'Sharon D. Clarke', 'Jenna Boyd', 'Colin Michael Carmichael', 'Universal Pictures', 'Marc Platt Productions', 'SKY Studios', 'Elphaba,', 'a', 'misunderstood', 'young', 'woman', 'because', 'of', 'her', 'green', 'skin,', 'and', 'Glinda,', 'a', 'popular', 'girl,', 'become', 'friends', 'at', 'Shiz', 'University', 'in', 'the', 'Land', 'of', 'Oz.', 'After', 'an', 'encounter', 'with', 'the', 'Wonderful', 'Wizard', 'of', 'Oz,', 'their', 'friendship', 'reaches', 'a', 'crossroads.', 'Jon M. Chu', 'Winnie Holzman', 'Dana Fox', 'Winnie Holzman', 'Gregory Maguire', 'L. Frank Baum']"
3,https://www.imdb.com/title/tt9218128/?ref_=sr_t_3,Võ Sĩ Giác Đấu 2,69%,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']","['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas', 'Alexander Karim', 'Yuval Gonen', 'Richard McCabe', 'Tim McInnerny', 'Alec Utgoff', 'Rory McCann', 'Yann Gael', 'Riana Duce']","Nov 22, 2024",2 hours 28 minutes,English,"['Paramount Pictures', 'Scott Free Productions', 'Red Wagon Films']","['After', 'his', 'home', 'is', 'conquered', 'by', 'the', 'tyrannical', 'emperors', 'who', 'now', 'lead', 'Rome,', 'Lucius', 'is', 'forced', 'to', 'enter', 'the', 'Colosseum', 'and', 'must', 'look', 'to', 'his', 'past', 'to', 'find', 'strength', 'to', 'return', 'the', 'glory', 'of', 'Rome', 'to', 'its', 'people.']","$322,371,093",T18,['Ridley Scott'],"['David Scarpa', 'Peter Craig', 'David Scarpa', 'David Franzoni']","['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama', 'Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas', 'Alexander Karim', 'Yuval Gonen', 'Richard McCabe', 'Tim McInnerny', 'Alec Utgoff', 'Rory McCann', 'Yann Gael', 'Riana Duce', 'Paramount Pictures', 'Scott Free Productions', 'Red Wagon Films', 'After', 'his', 'home', 'is', 'conquered', 'by', 'the', 'tyrannical', 'emperors', 'who', 'now', 'lead', 'Rome,', 'Lucius', 'is', 'forced', 'to', 'enter', 'the', 'Colosseum', 'and', 'must', 'look', 'to', 'his', 'past', 'to', 'find', 'strength', 'to', 'return', 'the', 'glory', 'of', 'Rome', 'to', 'its', 'people.', 'Ridley Scott', 'David Scarpa', 'Peter Craig', 'David Scarpa', 'David Franzoni']"
9,https://www.imdb.com/title/tt13622970/?ref_=sr_t_9,Hành Trình Của Moana 2,71%,"['Computer Animation', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Hualalai Chung', 'Rose Matafeo', 'David Fane', 'Awhimai Fraser', 'Khaleesi Lambert-Tsuda', 'Temuera Morrison', 'Nicole Scherzinger', 'Rachel House', 'Gerald Faitala Ramsey', 'Alan Tudyk', 'Jemaine Clement', ""Tofiga Fepulea'i"", 'Jasmine Johnson', 'Tiana Johnson', 'Ata Johnson', 'Bryson Chun']","Nov 27, 2024",1 hour 40 minutes,English,"['Disney Television Animation', 'The Walt Disney Company', 'Walt Disney Animation Canada']","['After', 'receiving', 'an', 'unexpected', 'call', 'from', 'her', 'wayfinding', 'ancestors,', 'Moana', 'must', 'journey', 'to', 'the', 'far', 'seas', 'of', 'Oceania', 'and', 'into', 'dangerous,', 'long-lost', 'waters', 'for', 'an', 'adventure', 'unlike', 'anything', ""she's"", 'ever', 'faced.']","$404,601,777",P,"['David G. Derrick Jr.', 'Jason Hand', 'Dana Ledoux Miller']","['Jared Bush', 'Dana Ledoux Miller', 'Jared Bush', 'Dana Ledoux Miller', 'Bek Smith', 'Bryson Chun']","['Computer Animation', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', ""Auli'i Cravalho"", 'Dwayne Johnson', 'Hualalai Chung', 'Rose Matafeo', 'David Fane', 'Awhimai Fraser', 'Khaleesi Lambert-Tsuda', 'Temuera Morrison', 'Nicole Scherzinger', 'Rachel House', 'Gerald Faitala Ramsey', 'Alan Tudyk', 'Jemaine Clement', ""Tofiga Fepulea'i"", 'Jasmine Johnson', 'Tiana Johnson', 'Ata Johnson', 'Bryson Chun', 'Disney Television Animation', 'The Walt Disney Company', 'Walt Disney Animation Canada', 'After', 'receiving', 'an', 'unexpected', 'call', 'from', 'her', 'wayfinding', 'ancestors,', 'Moana', 'must', 'journey', 'to', 'the', 'far', 'seas', 'of', 'Oceania', 'and', 'into', 'dangerous,', 'long-lost', 'waters', 'for', 'an', 'adventure', 'unlike', 'anything', ""she's"", 'ever', 'faced.', 'David G. Derrick Jr.', 'Jason Hand', 'Dana Ledoux Miller', 'Jared Bush', 'Dana Ledoux Miller', 'Jared Bush', 'Dana Ledoux Miller', 'Bek Smith', 'Bryson Chun']"
11,https://www.imdb.com/title/tt0172495/?ref_=sr_t_11,Võ Sĩ Giác Đấu,85%,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris', 'Derek Jacobi', 'Djimon Hounsou', 'David Schofield', 'John Shrapnel', 'Tomas Arana', 'Ralf Moeller', 'Spencer Treat Clark', 'David Hemmings', 'Tommy Flanagan', 'Sven-Ole Thorsen', 'Omid Djalili', 'Nicholas McGaughey', 'Chris Kell']","May 05, 2000",2 hours 35 minutes,English,"['Dreamworks Pictures', 'Universal Pictures', 'Scott Free Productions']","['A', 'former', 'Roman', 'General', 'sets', 'out', 'to', 'exact', 'vengeance', 'against', 'the', 'corrupt', 'emperor', 'who', 'murdered', 'his', 'family', 'and', 'sent', 'him', 'into', 'slavery.']","$465,516,248",R,['Ridley Scott'],"['David Franzoni', 'David Franzoni', 'John Logan', 'William Nicholson']","['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama', 'Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris', 'Derek Jacobi', 'Djimon Hounsou', 'David Schofield', 'John Shrapnel', 'Tomas Arana', 'Ralf Moeller', 'Spencer Treat Clark', 'David Hemmings', 'Tommy Flanagan', 'Sven-Ole Thorsen', 'Omid Djalili', 'Nicholas McGaughey', 'Chris Kell', 'Dreamworks Pictures', 'Universal Pictures', 'Scott Free Productions', 'A', 'former', 'Roman', 'General', 'sets', 'out', 'to', 'exact', 'vengeance', 'against', 'the', 'corrupt', 'emperor', 'who', 'murdered', 'his', 'family', 'and', 'sent', 'him', 'into', 'slavery.', 'Ridley Scott', 'David Franzoni', 'David Franzoni', 'John Logan', 'William Nicholson']"
16,https://www.imdb.com/title/tt17526714/?ref_=sr_t_16,Thần Dược,74%,"['Body Horror', 'Dark Comedy', 'Monster Horror', 'Psychological Horror', 'Drama', 'Horror']","['Demi Moore', 'Margaret Qualley', 'Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams', 'Oscar Lesage', 'Christian Erickson', 'Robin Greer', 'Tom Morton', 'Hugo Diego Garcia', 'Daniel Knight', 'Jonathon Carley', 'Jiselle Henderkott', 'Akil Wingate', 'Billy Bentley', 'Vincent Colombe', 'Lennard Ridsdale', 'Jordan Ford Silver']","Nov 01, 2024",2 hours 21 minutes,English,"['Working Title Films', 'A Good Story', 'Blacksmith']","['A', 'fading', 'celebrity', 'takes', 'a', 'black-market', 'drug:', 'a', 'cell-replicating', 'substance', 'that', 'temporarily', 'creates', 'a', 'younger,', 'better', 'version', 'of', 'herself.']","$55,960,677",R,['Coralie Fargeat'],['Coralie Fargeat'],"['Body Horror', 'Dark Comedy', 'Monster Horror', 'Psychological Horror', 'Drama', 'Horror', 'Demi Moore', 'Margaret Qualley', 'Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams', 'Oscar Lesage', 'Christian Erickson', 'Robin Greer', 'Tom Morton', 'Hugo Diego Garcia', 'Daniel Knight', 'Jonathon Carley', 'Jiselle Henderkott', 'Akil Wingate', 'Billy Bentley', 'Vincent Colombe', 'Lennard Ridsdale', 'Jordan Ford Silver', 'Working Title Films', 'A Good Story', 'Blacksmith', 'A', 'fading', 'celebrity', 'takes', 'a', 'black-market', 'drug:', 'a', 'cell-replicating', 'substance', 'that', 'temporarily', 'creates', 'a', 'younger,', 'better', 'version', 'of', 'herself.', 'Coralie Fargeat', 'Coralie Fargeat']"
18,https://www.imdb.com/title/tt14948432/?ref_=sr_t_18,Red One: Mật Mã Đỏ,69%,"['Holiday Comedy', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Holiday', 'Mystery']","['Dwayne Johnson', 'Chris Evans', 'Lucy Liu', 'J.K. Simmons', 'Bonnie Hunt', 'Kristofer Hivju', 'Kiernan Shipka', 'Mary Elizabeth Ellis', 'Wesley Kimmel', 'Nick Kroll', 'Wyatt Hunt', 'Clayton Cooper', 'Lanz Duffy', 'Marc Evan Jackson', 'Makana David', 'Samantha Benson', 'Ashleigh Domangue', 'Cody Easterbrook']","Nov 08, 2024",2 hours 3 minutes,English,"['Amazon MGM Studios', 'Seven Bucks Productions', 'Chris Morgan Productions']","['After', 'Santa', 'Claus', 'is', 'kidnapped,', 'the', 'North', ""Pole's"", 'Head', 'of', 'Security', 'must', 'team', 'up', 'with', 'the', ""world's"", 'most', 'infamous', 'bounty', 'hunter', 'in', 'a', 'globe-trotting,', 'action-packed', 'mission', 'to', 'save', 'Christmas.']","$149,652,760",K,['Jake Kasdan'],"['Chris Morgan', 'Hiram Garcia']","['Holiday Comedy', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Holiday', 'Mystery', 'Dwayne Johnson', 'Chris Evans', 'Lucy Liu', 'J.K. Simmons', 'Bonnie Hunt', 'Kristofer Hivju', 'Kiernan Shipka', 'Mary Elizabeth Ellis', 'Wesley Kimmel', 'Nick Kroll', 'Wyatt Hunt', 'Clayton Cooper', 'Lanz Duffy', 'Marc Evan Jackson', 'Makana David', 'Samantha Benson', 'Ashleigh Domangue', 'Cody Easterbrook', 'Amazon MGM Studios', 'Seven Bucks Productions', 'Chris Morgan Productions', 'After', 'Santa', 'Claus', 'is', 'kidnapped,', 'the', 'North', ""Pole's"", 'Head', 'of', 'Security', 'must', 'team', 'up', 'with', 'the', ""world's"", 'most', 'infamous', 'bounty', 'hunter', 'in', 'a', 'globe-trotting,', 'action-packed', 'mission', 'to', 'save', 'Christmas.', 'Jake Kasdan', 'Chris Morgan', 'Hiram Garcia']"
19,https://www.imdb.com/title/tt6263850/?ref_=sr_t_19,Deadpool và Wolverine,77%,"['Buddy Comedy', 'Dark Comedy', 'Raunchy Comedy', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Jennifer Garner', 'Wesley Snipes', 'Channing Tatum', 'Chris Evans', 'Henry Cavill', 'Wunmi Mosaku', 'Aaron Stanford', 'Tyler Mane', 'Karan Soni']","Jul 26, 2024",2 hours 8 minutes,English,"['Marvel Studios', '20th Century Studios', 'Maximum Effort']","['Deadpool', 'is', 'offered', 'a', 'place', 'in', 'the', 'Marvel', 'Cinematic', 'Universe', 'by', 'the', 'Time', 'Variance', 'Authority,', 'but', 'instead', 'recruits', 'a', 'variant', 'of', 'Wolverine', 'to', 'save', 'his', 'universe', 'from', 'extinction.']","$1,338,071,348",T18,['Shawn Levy'],"['Ryan Reynolds', 'Rhett Reese', 'Paul Wernick', 'Zeb Wells', 'Shawn Levy', 'Rob Liefeld', 'Fabian Nicieza', 'Len Wein', 'John Romita Sr.', 'Herb Trimpe', 'Roy Thomas', 'Joe Simon', 'Jack Kirby', 'Frank Miller']","['Buddy Comedy', 'Dark Comedy', 'Raunchy Comedy', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Jennifer Garner', 'Wesley Snipes', 'Channing Tatum', 'Chris Evans', 'Henry Cavill', 'Wunmi Mosaku', 'Aaron Stanford', 'Tyler Mane', 'Karan Soni', 'Marvel Studios', '20th Century Studios', 'Maximum Effort', 'Deadpool', 'is', 'offered', 'a', 'place', 'in', 'the', 'Marvel', 'Cinematic', 'Universe', 'by', 'the', 'Time', 'Variance', 'Authority,', 'but', 'instead', 'recruits', 'a', 'variant', 'of', 'Wolverine', 'to', 'save', 'his', 'universe', 'from', 'extinction.', 'Shawn Levy', 'Ryan Reynolds', 'Rhett Reese', 'Paul Wernick', 'Zeb Wells', 'Shawn Levy', 'Rob Liefeld', 'Fabian Nicieza', 'Len Wein', 'John Romita Sr.', 'Herb Trimpe', 'Roy Thomas', 'Joe Simon', 'Jack Kirby', 'Frank Miller']"
21,https://www.imdb.com/title/tt20215234/?ref_=sr_t_22,Conclave,75%,"['Conspiracy Thriller', 'Drama', 'Thriller']","['Ralph Fiennes', 'Stanley Tucci', 'John Lithgow', 'Lucian Msamati', 'Jacek Koman', 'Bruno Novelli', 'Thomas Loibl', ""Brían F. O'Byrne"", 'Isabella Rossellini', 'Rony Kramer', 'Sergio Castellitto', 'Valerio Da Silva', 'Carlos Diehz', 'Joseph Mydell', 'Vincenzo Failla', 'Garrick Hagon', 'Merab Ninidze', 'Madhav Sharma']","Oct 25, 2024",2 hours,English,"['Indian Paintbrush', 'Access Entertainment', 'FilmNation Entertainment']","['When', 'Cardinal', 'Lawrence', 'is', 'tasked', 'with', 'leading', 'one', 'of', 'the', ""world's"", 'most', 'secretive', 'and', 'ancient', 'events,', 'selecting', 'a', 'new', 'Pope,', 'he', 'finds', 'himself', 'at', 'the', 'center', 'of', 'a', 'conspiracy', 'that', 'could', 'shake', 'the', 'very', 'foundation', 'of', 'the', 'Catholic', 'Church.']","$34,832,314",PG,['Edward Berger'],"['Peter Straughan', 'Robert Harris']","['Conspiracy Thriller', 'Drama', 'Thriller', 'Ralph Fiennes', 'Stanley Tucci', 'John Lithgow', 'Lucian Msamati', 'Jacek Koman', 'Bruno Novelli', 'Thomas Loibl', ""Brían F. O'Byrne"", 'Isabella Rossellini', 'Rony Kramer', 'Sergio Castellitto', 'Valerio Da Silva', 'Carlos Diehz', 'Joseph Mydell', 'Vincenzo Failla', 'Garrick Hagon', 'Merab Ninidze', 'Madhav Sharma', 'Indian Paintbrush', 'Access Entertainment', 'FilmNation Entertainment', 'When', 'Cardinal', 'Lawrence', 'is', 'tasked', 'with', 'leading', 'one', 'of', 'the', ""world's"", 'most', 'secretive', 'and', 'ancient', 'events,', 'selecting', 'a', 'new', 'Pope,', 'he', 'finds', 'himself', 'at', 'the', 'center', 'of', 'a', 'conspiracy', 'that', 'could', 'shake', 'the', 'very', 'foundation', 'of', 'the', 'Catholic', 'Church.', 'Edward Berger', 'Peter Straughan', 'Robert Harris']"
24,https://www.imdb.com/title/tt18412256/?ref_=sr_t_25,Quái Vật Không Gian: Romulus,72%,"['Monster Horror', 'Space Sci-Fi', 'Horror', 'Sci-Fi', 'Thriller']","['Cailee Spaeny', 'David Jonsson', 'Archie Renaux', 'Isabela Merced', 'Spike Fearn', 'Aileen Wu', 'Rosie Ede', 'Soma Simon', 'Bence Okeke', 'Viktor Orizu', 'Robert Bobroczkyi', 'Trevor Newlin', 'Annemarie Griggs', 'Ian Holm', 'Daniel Betts', 'Elemer Szatmari']","Aug 15, 2024",1 hour 59 minutes,English,"['20th Century Studios', 'Scott Free Productions', 'Brandywine Productions']","['While', 'scavenging', 'the', 'deep', 'ends', 'of', 'a', 'derelict', 'space', 'station,', 'a', 'group', 'of', 'young', 'space', 'colonists', 'come', 'face', 'to', 'face', 'with', 'the', 'most', 'terrifying', 'life', 'form', 'in', 'the', 'universe.']","$350,865,342",T18,['Fede Alvarez'],"[""Dan O'Bannon"", 'Ronald Shusett', 'Fede Alvarez', 'Rodo Sayagues']","['Monster Horror', 'Space Sci-Fi', 'Horror', 'Sci-Fi', 'Thriller', 'Cailee Spaeny', 'David Jonsson', 'Archie Renaux', 'Isabela Merced', 'Spike Fearn', 'Aileen Wu', 'Rosie Ede', 'Soma Simon', 'Bence Okeke', 'Viktor Orizu', 'Robert Bobroczkyi', 'Trevor Newlin', 'Annemarie Griggs', 'Ian Holm', 'Daniel Betts', 'Elemer Szatmari', '20th Century Studios', 'Scott Free Productions', 'Brandywine Productions', 'While', 'scavenging', 'the', 'deep', 'ends', 'of', 'a', 'derelict', 'space', 'station,', 'a', 'group', 'of', 'young', 'space', 'colonists', 'come', 'face', 'to', 'face', 'with', 'the', 'most', 'terrifying', 'life', 'form', 'in', 'the', 'universe.', 'Fede Alvarez', ""Dan O'Bannon"", 'Ronald Shusett', 'Fede Alvarez', 'Rodo Sayagues']"
31,https://www.imdb.com/title/tt12584954/?ref_=sr_t_33,Lốc Xoáy Tử Thần,65%,"['Disaster', 'Action', 'Adventure', 'Thriller']","['Daisy Edgar-Jones', 'Glen Powell', 'Anthony Ramos', 'Brandon Perea', 'Maura Tierney', 'Harry Hadden-Paton', 'Sasha Lane', 'Daryl McCormack', 'Kiernan Shipka', 'Nik Dodani', 'David Corenswet', 'Tunde Adebimpe', ""Katy O'Brian"", 'David Born', 'Paul Scheer', 'Laura Poe', 'Austin Bullock', 'Stephen Oyoung']","Jul 19, 2024",2 hours 2 minutes,English,"['Universal Pictures', 'Warner Bros.', 'Amblin Entertainment']","['Kate', 'Carter,', 'a', 'retired', 'tornado-chaser', 'and', 'meteorologist,', 'is', 'persuaded', 'to', 'return', 'to', 'Oklahoma', 'to', 'work', 'with', 'a', 'new', 'team', 'and', 'new', 'technologies.']","$370,962,265",T13,['Lee Isaac Chung'],"['Mark L. Smith', 'Joseph Kosinski', 'Michael Crichton', 'Anne-Marie Martin']","['Disaster', 'Action', 'Adventure', 'Thriller', 'Daisy Edgar-Jones', 'Glen Powell', 'Anthony Ramos', 'Brandon Perea', 'Maura Tierney', 'Harry Hadden-Paton', 'Sasha Lane', 'Daryl McCormack', 'Kiernan Shipka', 'Nik Dodani', 'David Corenswet', 'Tunde Adebimpe', ""Katy O'Brian"", 'David Born', 'Paul Scheer', 'Laura Poe', 'Austin Bullock', 'Stephen Oyoung', 'Universal Pictures', 'Warner Bros.', 'Amblin Entertainment', 'Kate', 'Carter,', 'a', 'retired', 'tornado-chaser', 'and', 'meteorologist,', 'is', 'persuaded', 'to', 'return', 'to', 'Oklahoma', 'to', 'work', 'with', 'a', 'new', 'team', 'and', 'new', 'technologies.', 'Lee Isaac Chung', 'Mark L. Smith', 'Joseph Kosinski', 'Michael Crichton', 'Anne-Marie Martin']"
