ID,Movie_Name
1,10 Cloverfield Lane
2,10 Things I Hate About You
3,101 Dalmatians
4,12 Angry Men
5,12 Monkeys
6,12 Strong
7,12 Years a Slave
8,127 Hours
9,13 Going on 30
10,13 Hours: The Secret Soldiers of Benghazi
11,1408
12,17 Again
13,1917
14,1984
15,2 Fast 2 Furious
16,2 Guns
17,2001: A Space Odyssey
18,2012
19,21
20,21 Jump Street
21,22 Jump Street
22,28 Days Later
23,28 Weeks Later
24,3 Idiots
25,30 Days of Night
26,300
27,300: Rise of an Empire
28,3:10 to Yuma
29,50 First Dates
30,500 Days of Summer
31,65
32,8 Mile
33,9
34,9 Songs
35,9½ Weeks
36,A Bad Moms Christmas
37,A Beautiful Day in the Neighborhood
38,A Beautiful Mind
39,A Bridge Too Far
40,A Bronx Tale
41,A Bug's Life
42,A Christmas Carol
43,A Christmas Story
44,A Cinderella Story
45,A Clockwork Orange
46,A Cure for Wellness
47,A Dangerous Method
48,A Different Man
49,A Dog's Journey
50,A Dog's Purpose
51,A Few Good Men
52,A Fistful of Dollars
53,A Ghost Story
54,A Good Day to Die Hard
55,A Good Year
56,A Haunting in Venice
57,A History of Violence
58,A Knight's Tale
59,A League of Their Own
60,A Man Called Otto
61,A Matter of Life and Death
62,A Million Ways to Die in the West
63,A Mouthful of Air
64,A Night at the Roxbury
65,A Nightmare on Elm Street
66,A Quiet Place
67,A Quiet Place Part II
68,A Quiet Place: Day One
69,A Rainy Day in New York
70,A Separation
71,A Series of Unfortunate Events
72,A Serious Man
73,A Simple Favor
74,A Simple Plan
75,A Star Is Born
76,A Street Cat Named Bob
77,A Streetcar Named Desire
78,A Time to Kill
79,A Very Harold & Kumar Christmas
80,A View to a Kill
81,A Walk to Remember
82,A.I. Artificial Intelligence
83,Abigail
84,About Time
85,About a Boy
86,Absolution
87,Ace Ventura: Pet Detective
88,Ad Astra
89,Adaptation.
90,Addams Family Values
91,Adore
92,Adventures in Babysitting
93,AfrAId
94,Afraid
95,After
96,After Hours
97,After.Life
98,"Aguirre, the Wrath of God"
99,Air
100,Air Force One
101,Airplane!
102,Akira
103,Aladdin
104,Alex Cross
105,Alexander
106,Alice in Wonderland
107,Alien
108,Alien Resurrection
109,Alien vs. Predator
110,Alien: Covenant
111,Alien: Romulus
112,Aliens
113,Aliens vs. Predator: Requiem
114,Alien³
115,Alita: Battle Angel
116,All Dogs Go to Heaven
117,All Things Fair
118,All of Us Strangers
119,All the Money in the World
120,Allied
121,Almost Christmas
122,Almost Famous
123,Aloha
124,Alone
125,Along Came a Spider
126,Alpha
127,Alvin and the Chipmunks
128,Am I Racist?
129,Amadeus
130,Ambulance
131,American Assassin
132,American Beauty
133,American Gangster
134,American Graffiti
135,American History X
136,American Hustle
137,American Made
138,American Pie
139,American Pie 2
140,American Psycho
141,American Sniper
142,Ammonite
143,Amores Perros
144,Amsterdam
145,Amélie
146,An American Crime
147,An American Werewolf in London
148,Anastasia
149,Anatomy of a Fall
150,Anchorman: The Legend of Ron Burgundy
151,Angel
152,Angel Has Fallen
153,Angels & Demons
154,Anger Management
155,Anna
156,Anna Karenina
157,Annabelle
158,Annie
159,Annie Hall
160,Annihilation
161,Ant-Man
162,Ant-Man and the Wasp: Quantumania
163,Antichrist
164,Anyone But You
165,Apocalypse Now
166,Apocalypto
167,Apollo 13
168,Apollo 18
169,Appaloosa
170,Appointment with Death
171,Aquaman
172,Aquaman and the Lost Kingdom
173,"Are You There God? It's Me, Margaret."
174,Argo
175,Argylle
176,Armageddon
177,Arrival
178,Arthur Christmas
179,"As Above, So Below"
180,As Good as It Gets
181,Assassin's Creed
182,Asteroid City
183,Atlantis: The Lost Empire
184,Atomic Blonde
185,Atonement
186,Austin Powers in Goldmember
187,Austin Powers: International Man of Mystery
188,Austin Powers: The Spy Who Shagged Me
189,Avatar
190,Avatar: The Way of Water
191,Avengers: Age of Ultron
192,Avengers: Endgame
193,Avengers: Infinity War
194,Awake
195,Awakenings
196,Azrael
197,Babe
198,Babel
199,Baby Driver
200,Babylon
201,Bachelor Party
202,Back to Black
203,Back to the Future
204,Back to the Future Part II
205,Back to the Future Part III
206,Bad Boys
207,Bad Boys II
208,Bad Boys for Life
209,Bad Boys: Ride or Die
210,Bad Moms
211,Bad Santa
212,Bad Santa 2
213,Bad Teacher
214,Bad Times at the El Royale
215,Bagman
216,Barbarella
217,Barbarian
218,Barbie
219,Barefoot
220,Barry Lyndon
221,Basic Instinct
222,Batman
223,Batman & Robin
224,Batman Begins
225,Batman Forever
226,Batman Returns
227,Batman v Superman: Dawn of Justice
228,Battleship
229,Baywatch
230,Beau Is Afraid
231,Beautiful Boy
232,Beauty and the Beast
233,Bedazzled
234,Beetlejuice
235,Beetlejuice Beetlejuice
236,Before Sunrise
237,Before Sunset
238,Before the Devil Knows You're Dead
239,Begin Again
240,Being John Malkovich
241,Bell Book and Candle
242,Ben-Hur
243,Bend It Like Beckham
244,Benedetta
245,Beowulf
246,Best in Show
247,Better Man
248,Better Watch Out
249,Beverly Hills Cop
250,Bicentennial Man
251,Big
252,Big Daddy
253,Big Fish
254,Big Hero 6
255,Big Trouble in Little China
256,Billy Elliot
257,Billy Madison
258,Birdman or (The Unexpected Virtue of Ignorance)
259,Birds of Prey
260,Bitter Moon
261,BlacKkKlansman
262,Black Adam
263,Black Christmas
264,Black Hawk Down
265,Black Mass
266,Black Narcissus
267,Black Panther
268,Black Panther: Wakanda Forever
269,Black Snake Moan
270,Black Swan
271,Black Widow
272,Blade
273,Blade II
274,Blade Runner
275,Blade Runner 2049
276,Blade: Trinity
277,Blast from the Past
278,Blazing Saddles
279,Blended
280,Blink Twice
281,Blood Diamond
282,"Blood In, Blood Out"
283,Blood Simple
284,Bloodsport
285,Blow
286,Blow-Up
287,Blue Beetle
288,Blue Is the Warmest Colour
289,Blue Ruin
290,Blue Valentine
291,Blue Velvet
292,Body Double
293,Body Heat
294,Body of Lies
295,Bohemian Rhapsody
296,Bombshell
297,Bone Tomahawk
298,Bones and All
299,Boogie Nights
300,Booksmart
301,Borat
302,Borderlands
303,Born on the Fourth of July
304,Boss Level
305,Bound
306,Boy Erased
307,Boyhood
308,Boys Don't Cry
309,Boyz n the Hood
310,Bram Stoker's Dracula
311,Brave
312,Braveheart
313,Brazil
314,Breakdown
315,Breakfast at Tiffany's
316,Bridesmaids
317,Bridge of Spies
318,Bridge to Terabithia
319,Bridget Jones's Baby
320,Bridget Jones's Diary
321,Brightburn
322,Bring It On
323,Brokeback Mountain
324,Bronson
325,Brooklyn
326,Brotherhood of the Wolf
327,Brothers
328,Bruce Almighty
329,Buffalo '66
330,Bullet Train
331,Bumblebee
332,Burlesque
333,Burn After Reading
334,Burnt
335,But I'm a Cheerleader
336,Butch Cassidy and the Sundance Kid
337,CHIPS
338,CODA
339,Cabaret
340,Cabrini
341,Caddyshack
342,Call Me by Your Name
343,Can't Hardly Wait
344,Candyman
345,Cape Fear
346,Capernaum
347,Capote
348,Captain America: Civil War
349,Captain America: The First Avenger
350,Captain America: The Winter Soldier
351,Captain Fantastic
352,Captain Marvel
353,Captain Phillips
354,Carlito's Way
355,Carol
356,Carrie
357,Cars
358,Cars 2
359,Cars 3
360,Casablanca
361,Casino
362,Casino Royale
363,Casper
364,Cast Away
365,Catch Me If You Can
366,Cats
367,Cedar Rapids
368,Challengers
369,Chaos Walking
370,Chappie
371,Charade
372,Charlie Wilson's War
373,Charlie and the Chocolate Factory
374,Charlie's Angels
375,Cheaper by the Dozen
376,Chef
377,Chicago
378,Chicken Little
379,Child's Play
380,Children of Men
381,Chinatown
382,Chitty Chitty Bang Bang
383,Chloe
384,Chocolat
385,Christine
386,Christmas with the Kranks
387,Cinderella
