ID,Link,Movie_Name,Tags
1,https://www.imdb.com/title/tt1179933/?ref_=sr_t_437,10 Cloverfield Lane,drama horror mysteri & thriller sci-fi john goodman mari elizabeth winstead john gallagh jr. dougla m. griffin suzann cryer bradley cooper sumale montano frank mottek kayla bechor paramount pictur bad robot spectrum effect a young woman is held in an underground bunker by a man who insist that a hostil event ha left the surfac of the earth uninhabitable. dan trachtenberg josh campbel matt stuecken damien chazel josh campbel matt stuecken
2,https://www.imdb.com/title/tt0147800/?ref_=sr_t_468,10 Things I Hate About You,"comedi drama romanc heath ledger julia stile joseph gordon-levitt larisa oleynik david krumholtz andrew keegan susan may pratt gabriel union larri miller daryl mitchel allison janney david leisur greg jackson kyle ceas terenc heuston cameron fraser eric riedmann quinn maixner touchston pictur mad chanc jaret entertain a high-school boy, cameron, cannot date bianca until her anti-soci older sister, kat, ha a boyfriend. so, cameron pay a mysteri boy, patrick, to charm kat. gil junger karen mccullah kirsten smith william shakespear"
3,https://www.imdb.com/title/tt0115433/?ref_=sr_t_367,101 Dalmatians,adventur comedi kid & famili mysteri & thriller glenn close jeff daniel joeli richardson joan plowright hugh lauri mark william john shrapnel tim mcinnerni hugh fraser zohren weiss mark haddigan michael perciv nevil phillip john evan hilda braid margeri mason john benfield andrew readman walt disney pictur great oak entertain wizzer product an evil high-fashion design plot to steal dalmatian puppi in order to make an extravag fur coat but creat an extravag mess instead. stephen herek dodi smith john hugh
4,https://www.imdb.com/title/tt0050083/?ref_=sr_t_166,12 Angry Men,drama mysteri & thriller henri fonda lee j. cobb martin balsam john fiedler e.g. marshal jack klugman edward binn jack warden joseph sweeney ed begley georg voskovec robert webber rudi bond tom gorman jame kelli billi nelson john savoca walter stocker orion-nova product the juri in a new york citi murder trial is frustrat by a singl member whose skeptic caution forc them to more care consid the evid befor jump to a hasti verdict. sidney lumet reginald rose reginald rose
5,https://www.imdb.com/title/tt0114746/?ref_=sr_t_400,12 Monkeys,"mysteri & thriller sci-fi bruce willi madelein stow brad pitt joseph melito jon seda michael chanc vernon campbel h. michael wall bob adrian simon jone carol florenc bill raymond ernest abuba irma st. paul joey perillo bruce kirkpatrick wilfr william rozwil young univers pictur atla entertain classico in a futur world devast by disease, a convict is sent back in time to gather inform about the man-mad viru that wipe out most of the human popul on the planet. terri gilliam chri marker david webb peopl janet peopl"
6,https://www.imdb.com/title/tt1413492/?ref_=sr_t_471,12 Strong,"action drama chri hemsworth michael shannon michael peña navid negahban trevant rhode geoff stult thad luckinbil austin hébert austin stowel ben o'tool kenneth miller kenni sheard jack kesi rob riggl william fichtner arshia mandavi elsa pataki mari wagenman alcon entertain black label media jerri bruckheim film 12 strong tell the stori of the first special forc team deploy to afghanistan after 9/11; under the leadership of a new captain, the team must work with an afghan warlord to take down the taliban. nicolai fuglsig ted talli peter craig doug stanton"
7,https://www.imdb.com/title/tt2024544/?ref_=sr_t_129,12 Years a Slave,"drama chiwetel ejiofor michael kenneth william michael fassbend brad pitt dwight henri dicki gravoi bryan batt ashley dyke kelsey scott quvenzhané walli cameron zeigler toni bentley scoot mcnairi taran killam christoph berri bill camp mister mackey jr. chri chalk new regenc product river road entertain plan b entertain in the antebellum unit states, solomon northup, a free black man from upstat new york, is abduct and sold into slavery. steve mcqueen john ridley solomon northup"
8,https://www.imdb.com/title/tt1542344/?ref_=sr_t_479,127 Hours,"adventur drama jame franco amber tamblyn kate mara sean bott koleman stinger treat william john lawrenc kate burton baile michel johnson parker hadley clémenc poési fenton quinn lizzi caplan peter joshua hull pieter jan brugg rebecca c. olson jeffrey wood norman lehnert searchlight pictur pathé everest entertain a mountain climber becom trap under a boulder while canyon alon near moab, utah and resort to desper measur in order to survive. danni boyl danni boyl simon beaufoy aron ralston"
9,https://www.imdb.com/title/tt0337563/?ref_=sr_t_48,13 Going on 30,"comedi drama fantasi romanc jennif garner mark ruffalo judi greer andi serki kathi baker phil reev sam ball marcia deboni christa b. allen sean marquett kiersten warren joe grifasi mari pat gleason susan egan lynn collin rene olstead alexandra kyle alex black revolut studio thirteen product unpopular schoolgirl jenna rink make an unusu wish on her birthday. miraculously, her wish come true and the 13-year-old jenna wake up the next day as a 30-year-old woman. gari winick josh goldsmith cathi yuspa"
10,https://www.imdb.com/title/tt4172430/?ref_=sr_t_438,13 Hours: The Secret Soldiers of Benghazi,"action drama mysteri & thriller john krasinski pablo schreiber jame badg dale david denman domin fumusa max martini alexia barlier david costabil payman maadi matt letscher tobi stephen demetriu gross david giuntoli kevin kent david furr mike moriarti freddi stroma kenni sheard paramount pictur 3 art entertain bay film dure an attack on a u.s. compound in libya, a secur team struggl to make sens out of the chaos. michael bay chuck hogan mitchel zuckoff"
